1	first person
2	second person
3	third person
A	agent-like argument of canonical transitive verb
AA	adverbial adjective
ABILT	ability potential
ABL	ablative
ABS	absolutive
ABS	absolutive form
ABT	ability potential
AC	adversative conjunction
ACC	accusative
ACOM	anti-comissive
ADD	additive
ADJ	adjective
ADJ	adjectivizer
ADJ	inflectional adjectival affix
ADJR	adjectivizer
ADJVZ	adjectivizer
ADJZ	adjectivizer
ADN	adnominal
ADNMLZ	adnominalizer
ADNZ	adnominalizer
ADR	addressive
ADT	additive
ADV	adverb(ial)
ADV	adverbalizer
ADVL	adverbalizer
ADVR	adverbalizer
ADVRS	adversative
ADVS	adversative
ADVZ	adverbalizer
AFF	affirmative
AGNR	agent nominalizer
AGR	agreement
AJLZ	adjectivizer
AL	allative
ALL	allative
ALLOC	allocutive
ALZ	adverbalizer
AMBG	ambiguity
ANT	anterior
ANTC	anticipated future
ANTIP	antipassive
APPL	applicative
APPR	approximative
APPROX	approximative
APRX	approximative
ART	article
ASC	associative
ASP	aspect
ASPL	associative plural
ASR	assertive
ASRT	assertive
ASS	assertive
ASSPL	assocative plural
ASSUM	assumed evidential
ATT	attainment
ATT	attributive
ATTR	attributive
AUX	auxiliary
AVLZ	adverbalizer
AVR	aversive
AVZ	adverbalizer
AZ	adjectivizer
BACK	background
BEN	benefactive
CAP	capability
CAS	causative
CAUS	causative
CC	cordinate conjunction
CEX	counter expression
CF	counter factual
CFM	confirmative
CFP	clause-final particle
CHN	chaining verb
CIRC	circumstantial
CJF	conjunctive form
CJP	conjunctive particle
CL	classifier
CLF	classifier
CM	compound marker
CMP	comparative
CMPL	complementizer
CMPR	compromise
CMPR	comparative
CNC	concessive
CND	conditional
CNF	confirmative clitic
CNF	confirmative
CNFM	confirmative
CNG	complete nagation
CNJ	conjunction
CNS	consecutive
CNT	contrastive
CNT	conative
CNT	continuative
CNTN	continuative
CNTR	contrastive
COM	comitative
COMP	complementizer
COMP	completive
COMP	comparative
COMPL	completive
COMPR	comparative
CON	comitative
CON	conative
CONC	concord
CONC	concessive
CONCES	concessive
CONCESS	concessive
COND	conditional
CONF	confirmative
CONJ	conjunctive
CONJEC	conjecture
CONT	continuative
COP	copula
COR	corrective
CORE	core argument
CP	conjunctive particle
CP	complement
CPL	completive
CPLF	completive
CPOT	capable potential
CRCM	circumstantial
CRTN	certainty
CSL	causal
CSS	concessive
CSV	concessive
CTX	contextual
CVB	converb
D	determiner
DAS	desiderative
DAT	dative
DBT	doubt
DE	direct evidential
DEC	declarative
DECL	declarative
DEF	definite
DEF	definitive
DEM	demonstrative
DES	desiderative
DESID	desiderative
DET	determiner
DFOC	defocus
DHD	dummy head
DIM	diminutive
DIMIN	diminutive
DIR	directive
DIR	directional verb
DIRC	directive
DIREV	direct evidential
DIS	distal
DISC	discourse marker
DISJ	disjunctive
DIST	distal
DISTR	distributive
DM	discourse marker
DOUBT	doubt
DRG	derogative
DSC	discourse marker
DSR	desiderative
DU	dual
DUB	dubitative
DUR	durative
DVLZ	deverbalizer
E	epenthetic morpheme
ECHO	echo element
EMO	emotional
EMP	emphatic
EMPH	emphatic
ENDO	endocentric
ENU	enumerative
EPI	epistemic
ERG	ergative
ESS	essive
EVID	evidential
EVD	evidential
EXCL	exclusive
EXCLAM	exclamative
EXCLM	exclamative
